pos_score,neu_score,neg_score,sub_score,value
90,2320,30,6.2,0
120,4400,0,3.2333333333333334,-1
0,80,0,0.06666666666666667,0
30,0,0,0.5,0
60,1740,20,2.4,-1
690,8500,230,49.383333333333304,-1
300,3660,0,5.114285714285714,0
120,3380,20,6.164285714285715,0
60,1120,0,2.1,0
0,2060,0,0.0,1
0,280,0,0.0,0
30,1660,0,0.5714285714285714,1
480,1340,110,20.538095238095238,0
30,120,0,0.9,0
0,100,0,0.0,-1
30,740,0,0.0,1
0,260,0,0.0,1
30,3560,0,1.65,0
1800,4840,0,47.250000000000014,0
0,1660,0,0.0,0
0,780,0,7.050000000000001,0
30,3560,0,5.271428571428571,-1
0,0,0,0,-1
60,300,30,5.266666666666667,-1
60,240,10,1.7,0
120,1660,40,9.233333333333334,0
0,220,0,0.0,1
60,280,10,1.3416666666666666,1
0,3960,0,0.0,0
30,1040,20,3.8,0
30,80,0,0.7000000000000001,0
0,180,0,0.06666666666666667,0
60,140,10,2.4,0
1920,12840,0,52.45000000000003,1
0,580,0,0.0,1
30,940,60,6.8999999999999995,0
0,80,0,0.0,1
60,6240,20,4.993650793650792,-1
150,1940,20,5.533333333333333,0
30,1680,20,3.8,0
120,400,0,1.5,1
0,0,0,0,0
0,160,0,0.0,1
420,1240,90,19.96666666666666,0
120,560,0,1.7333333333333334,1
0,80,0,0.0,1
0,2940,0,0.0,-1
240,1040,20,7.014285714285714,0
0,80,10,0.6666666666666666,1
60,0,0,1.3,1
180,180,0,3.214285714285714,0
0,260,0,0.0,0
120,680,0,1.7333333333333334,0
0,20,0,0.0,0
90,240,20,4.1,-1
60,140,0,1.8888888888888888,1
0,120,0,0.0,0
0,220,0,0.0,0
0,220,0,0.0,1
0,120,10,0.4,1
0,660,0,0.2888888888888889,0
30,1540,0,1.0,-1
0,200,0,0.0,1
90,1100,40,6.6000000000000005,-1
270,15220,20,21.814285714285724,1
0,320,0,0.0,0
0,220,0,0.5,1
390,2460,70,16.166666666666664,-1
30,120,0,0.4,1
0,100,0,0.0,1
30,220,0,0.0,1
90,12380,40,10.678571428571429,-1
0,1700,0,0.0,0
30,160,0,0.75,0
0,4100,0,7.050000000000001,0
90,2860,30,3.1428571428571432,-1
30,180,0,0.6023809523809524,0
0,240,0,0.1,0
30,1980,20,3.8,-1
0,780,0,0.0,1
0,120,0,0.0,0
540,780,0,12.949206349206353,1
0,240,0,0.0,0
30,120,0,1.0,1
0,1400,0,0.05,1
0,160,0,0.0,0
60,140,0,1.9000000000000001,0
30,140,20,3.8,1
30,180,0,0.3333333333333333,0
0,480,0,0.0,0
1920,11160,90,70.88571428571436,0
0,300,10,0.9,0
0,180,0,0.0,1
60,160,20,2.9333333333333336,-1
0,260,0,0.0,0
0,780,10,0.0,0
30,260,20,3.8,0
360,3260,40,20.982142857142865,1
0,40,0,0.0,1
60,300,0,0.9,0
3690,29500,60,125.17380952380971,0
0,100,0,0.0,-1
30,580,0,0.75,1
840,5640,0,25.67857142857143,0
30,40,0,0.6000000000000001,1
0,380,10,0.0,0
60,280,0,0.6714285714285714,1
0,1020,0,0.0,-1
0,240,0,0.45454545454545453,-1
0,0,0,0,0
60,5160,0,2.1666666666666665,0
60,1980,30,4.133333333333333,0
120,1060,60,7.1,0
0,100,0,0.0,0
0,340,0,0.0,0
30,1140,20,3.8,-1
60,940,0,1.8,1
120,160,20,3.4972222222222222,0
60,120,0,0.8333333333333334,1
0,140,0,1.0,0
180,4520,190,20.433333333333334,1
0,40,0,0.0,1
0,60,0,0.0,0
0,1040,0,0.3333333333333333,-1
30,20,20,3.8,0
30,220,20,2.6,1
90,2320,0,7.764285714285713,0
0,140,0,0.0,1
0,100,0,0.0,0
0,0,0,0,1
0,20,0,0.0,0
150,3580,0,2.4714285714285715,0
240,5960,40,10.6,-1
0,1480,0,0.42857142857142855,1
60,7020,10,9.25714285714286,0
30,540,20,3.8,-1
0,1080,0,0.0,-1
0,260,0,0.0,0
0,80,0,0.0,0
30,5300,20,4.666666666666666,-1
0,0,0,0,0
300,1280,60,10.014285714285714,0
0,1140,0,0.0,-1
150,5080,90,13.571428571428571,-1
60,3600,0,1.55,1
0,3180,120,10.499999999999998,1
0,2440,10,1.1,-1
1950,9080,20,54.88333333333335,1
60,100,0,2.0,1
30,200,0,0.5666666666666667,-1
0,460,0,0.0,-1
120,7580,30,13.125000000000004,0
30,160,0,1.0,1
0,0,0,0,1
60,100,10,2.4,0
0,3900,10,0.0,0
0,1700,0,0.0,0
30,360,10,1.5642857142857143,0
0,240,0,0.0,1
0,4380,0,0.8666666666666667,1
390,8080,50,13.614105339105338,-1
0,120,0,0.0,1
540,540,0,12.949206349206353,1
30,2860,0,0.5714285714285714,0
0,20,0,0.0,0
0,1120,0,0.8666666666666667,0
60,1680,40,7.6000000000000005,0
30,100,0,1.15,0
30,1360,20,4.3,0
570,780,20,16.749206349206354,-1
30,1860,0,0.7714285714285714,0
30,60,0,0.7,1
30,800,0,0.5714285714285714,-1
30,80,10,0.7,1
0,120,0,0.0,0
0,20,0,0.0,0
0,340,0,0.0,1
90,600,0,1.7642857142857142,-1
0,300,10,0.6666666666666666,0
0,200,0,0.0,0
0,200,0,0.0,-1
1830,15160,40,54.8166666666667,-1
0,160,0,0.0,-1
0,2500,20,0.8,0
30,60,0,0.0,1
210,4580,20,5.8,-1
30,2860,0,0.0,1
30,1000,10,1.8416666666666668,1
30,660,0,0.7,0
480,3900,40,19.021428571428576,0
60,100,10,2.4,-1
0,0,0,0,0
1980,5800,80,59.111904761904796,-1
120,3200,20,4.6,0
30,2020,20,3.8,1
480,6520,30,9.404761904761902,1
60,3120,20,4.620833333333334,0
0,0,0,0,0
90,1860,20,3.75,1
30,1740,0,0.0,1
0,240,0,0.0,0
60,340,30,4.8,1
180,11980,70,21.058333333333334,0
60,100,10,2.4,0
240,940,10,4.328571428571429,1
60,9140,50,14.12857142857143,1
210,2500,20,14.064285714285718,0
0,160,0,0.0,0
0,120,0,0.0,-1
0,0,0,0,0
0,0,0,0,0
30,240,0,0.9,0
30,500,20,3.8,0
90,540,0,1.5666666666666667,0
1830,5980,20,51.05000000000001,0
150,840,0,1.9333333333333336,1
60,120,0,0.9,-1
210,900,20,6.200000000000001,1
30,5040,0,0.36666666666666664,0
0,100,10,0.95,0
30,2240,20,4.2,1
60,620,0,0.8999999999999999,1
0,560,0,0.0,0
60,13900,50,21.165259740259717,1
30,760,20,3.8,-1
0,4460,0,0.0,0
120,40,0,0.8,1
30,120,0,0.3,1
60,880,10,2.4,1
270,1860,20,12.088492063492065,-1
180,4800,0,8.975,0
30,1060,0,1.0,0
0,1020,0,1.2,0
90,1060,0,1.7642857142857142,-1
0,60,0,0.0,0
0,240,0,0.0,-1
0,60,0,0.5,0
30,240,0,0.5714285714285714,0
0,0,0,0,-1
60,120,0,0.0,1
30,4100,20,3.8,0
30,140,10,1.6666666666666665,-1
0,80,0,0.0,0
0,460,0,0.0,0
0,40,0,0.0,0
0,880,0,0.0,-1
0,160,10,1.0,-1
0,80,0,0.0,1
30,140,0,0.6,1
0,120,10,0.5,0
30,180,0,0.5,1
180,2720,0,8.946428571428571,0
0,880,0,0.0,0
120,1560,90,13.950000000000003,-1
60,880,0,2.65,-1
90,60,0,1.3666666666666667,1
30,7560,0,8.083333333333332,1
0,220,20,1.9,-1
0,2520,0,0.0,1
120,240,10,2.8,-1
60,4200,0,1.95,1
150,2880,0,2.3047619047619046,-1
30,20,0,1.0,1
0,280,0,0.0,0
