,pos_score,neu_score,neg_score,sub_score
0,0.9,23.2,0.3,0.062
1,1.2,44.0,0.0,0.0323
2,0.0,0.8,0.0,0.0007
3,0.3,0.0,0.0,0.005
4,0.6,17.4,0.2,0.024
5,6.9,85.0,2.3,0.4938
6,3.0,36.6,0.0,0.0511
7,1.2,33.8,0.2,0.0616
8,0.6,11.2,0.0,0.021
9,0.0,20.6,0.0,0.0
10,0.0,2.8,0.0,0.0
11,0.3,16.6,0.0,0.0057
12,4.8,13.4,1.1,0.2054
13,0.3,1.2,0.0,0.009
14,0.0,1.0,0.0,0.0
15,0.3,7.4,0.0,0.0
16,0.0,2.6,0.0,0.0
17,0.3,35.6,0.0,0.0165
18,18.0,48.4,0.0,0.4725
19,0.0,16.6,0.0,0.0
20,0.0,7.8,0.0,0.0705
21,0.3,35.6,0.0,0.0527
22,0.0,0.0,0.0,0.0
23,0.6,3.0,0.3,0.0527
24,0.6,2.4,0.1,0.017
25,1.2,16.6,0.4,0.0923
26,0.0,2.2,0.0,0.0
27,0.6,2.8,0.1,0.0134
28,0.0,39.6,0.0,0.0
29,0.3,10.4,0.2,0.038
30,0.3,0.8,0.0,0.007
31,0.0,1.8,0.0,0.0007
32,0.6,1.4,0.1,0.024
33,19.2,128.4,0.0,0.5245
34,0.0,5.8,0.0,0.0
35,0.3,9.4,0.6,0.069
36,0.0,0.8,0.0,0.0
37,0.6,62.4,0.2,0.0499
38,1.5,19.4,0.2,0.0553
39,0.3,16.8,0.2,0.038
40,1.2,4.0,0.0,0.015
41,0.0,0.0,0.0,0.0
42,0.0,1.6,0.0,0.0
43,4.2,12.4,0.9,0.1997
44,1.2,5.6,0.0,0.0173
45,0.0,0.8,0.0,0.0
46,0.0,29.4,0.0,0.0
47,2.4,10.4,0.2,0.0701
48,0.0,0.8,0.1,0.0067
49,0.6,0.0,0.0,0.013
50,1.8,1.8,0.0,0.0321
51,0.0,2.6,0.0,0.0
52,1.2,6.8,0.0,0.0173
53,0.0,0.2,0.0,0.0
54,0.9,2.4,0.2,0.041
55,0.6,1.4,0.0,0.0189
56,0.0,1.2,0.0,0.0
57,0.0,2.2,0.0,0.0
58,0.0,2.2,0.0,0.0
59,0.0,1.2,0.1,0.004
60,0.0,6.6,0.0,0.0029
61,0.3,15.4,0.0,0.01
62,0.0,2.0,0.0,0.0
63,0.9,11.0,0.4,0.066
64,2.7,152.2,0.2,0.2181
65,0.0,3.2,0.0,0.0
66,0.0,2.2,0.0,0.005
67,3.9,24.6,0.7,0.1617
68,0.3,1.2,0.0,0.004
69,0.0,1.0,0.0,0.0
70,0.3,2.2,0.0,0.0
71,0.9,123.8,0.4,0.1068
72,0.0,17.0,0.0,0.0
73,0.3,1.6,0.0,0.0075
74,0.0,41.0,0.0,0.0705
75,0.9,28.6,0.3,0.0314
76,0.3,1.8,0.0,0.006
77,0.0,2.4,0.0,0.001
78,0.3,19.8,0.2,0.038
79,0.0,7.8,0.0,0.0
80,0.0,1.2,0.0,0.0
81,5.4,7.8,0.0,0.1295
82,0.0,2.4,0.0,0.0
83,0.3,1.2,0.0,0.01
84,0.0,14.0,0.0,0.0005
85,0.0,1.6,0.0,0.0
86,0.6,1.4,0.0,0.019
87,0.3,1.4,0.2,0.038
88,0.3,1.8,0.0,0.0033
89,0.0,4.8,0.0,0.0
90,19.2,111.6,0.9,0.7089
91,0.0,3.0,0.1,0.009
92,0.0,1.8,0.0,0.0
93,0.6,1.6,0.2,0.0293
94,0.0,2.6,0.0,0.0
95,0.0,7.8,0.1,0.0
96,0.3,2.6,0.2,0.038
97,3.6,32.6,0.4,0.2098
98,0.0,0.4,0.0,0.0
99,0.6,3.0,0.0,0.009
100,36.9,295.0,0.6,1.2517
101,0.0,1.0,0.0,0.0
102,0.3,5.8,0.0,0.0075
103,8.4,56.4,0.0,0.2568
104,0.3,0.4,0.0,0.006
105,0.0,3.8,0.1,0.0
106,0.6,2.8,0.0,0.0067
107,0.0,10.2,0.0,0.0
108,0.0,2.4,0.0,0.0045
109,0.0,0.0,0.0,0.0
110,0.6,51.6,0.0,0.0217
111,0.6,19.8,0.3,0.0413
112,1.2,10.6,0.6,0.071
113,0.0,1.0,0.0,0.0
114,0.0,3.4,0.0,0.0
115,0.3,11.4,0.2,0.038
116,0.6,9.4,0.0,0.018
117,1.2,1.6,0.2,0.035
118,0.6,1.2,0.0,0.0083
119,0.0,1.4,0.0,0.01
120,1.8,45.2,1.9,0.2043
121,0.0,0.4,0.0,0.0
122,0.0,0.6,0.0,0.0
123,0.0,10.4,0.0,0.0033
124,0.3,0.2,0.2,0.038
125,0.3,2.2,0.2,0.026
126,0.9,23.2,0.0,0.0776
127,0.0,1.4,0.0,0.0
128,0.0,1.0,0.0,0.0
129,0.0,0.0,0.0,0.0
130,0.0,0.2,0.0,0.0
131,1.5,35.8,0.0,0.0247
132,2.4,59.6,0.4,0.106
133,0.0,14.8,0.0,0.0043
134,0.6,70.2,0.1,0.0926
135,0.3,5.4,0.2,0.038
136,0.0,10.8,0.0,0.0
137,0.0,2.6,0.0,0.0
138,0.0,0.8,0.0,0.0
139,0.3,53.0,0.2,0.0467
140,0.0,0.0,0.0,0.0
141,3.0,12.8,0.6,0.1001
142,0.0,11.4,0.0,0.0
143,1.5,50.8,0.9,0.1357
144,0.6,36.0,0.0,0.0155
145,0.0,31.8,1.2,0.105
146,0.0,24.4,0.1,0.011
147,19.5,90.8,0.2,0.5488
148,0.6,1.0,0.0,0.02
149,0.3,2.0,0.0,0.0057
150,0.0,4.6,0.0,0.0
151,1.2,75.8,0.3,0.1313
152,0.3,1.6,0.0,0.01
153,0.0,0.0,0.0,0.0
