 ,score
0,24.4
1,45.2
2,0.8
3,0.3
4,18.2
5,94.2
6,39.6
7,35.2
8,11.8
9,20.6
10,2.8
11,16.9
12,19.3
13,1.5
14,1.0
15,7.7
16,2.6
17,35.9
18,66.4
19,16.6
20,7.8
21,35.9
22,0.0
23,3.9
24,3.1
25,18.2
26,2.2
27,3.5
28,39.6
29,10.9
30,1.1
31,1.8
32,2.1
33,147.6
34,5.8
35,10.3
36,0.8
37,63.2
38,21.1
39,17.3
40,5.2
41,0.0
42,1.6
43,17.5
44,6.8
45,0.8
46,29.4
47,13.0
48,0.9
49,0.6
50,3.6
51,2.6
52,8.0
53,0.2
54,3.5
55,2.0
56,1.2
57,2.2
58,2.2
59,1.3
60,6.6
61,15.7
62,2.0
63,12.3
64,155.1
65,3.2
66,2.2
67,29.2
68,1.5
69,1.0
70,2.5
71,125.1
72,17.0
73,1.9
74,41.0
75,29.8
76,2.1
77,2.4
78,20.3
79,7.8
80,1.2
81,13.2
82,2.4
83,1.5
84,14.0
85,1.6
86,2.0
87,1.9
88,2.1
89,4.8
90,131.7
91,3.1
92,1.8
93,2.4
94,2.6
95,7.9
96,3.1
97,36.6
98,0.4
99,3.6
100,332.5
101,1.0
102,6.1
103,64.8
104,0.7
105,3.9
106,3.4
107,10.2
108,2.4
109,0.0
110,52.2
111,20.7
112,12.4
113,1.0
114,3.4
115,11.9
116,10.0
117,3.0
118,1.8
119,1.4
120,48.9
121,0.4
122,0.6
123,10.4
124,0.7
125,2.7
126,24.1
127,1.4
128,1.0
129,0.0
130,0.2
131,37.3
132,62.4
133,14.8
134,70.9
135,5.9
136,10.8
137,2.6
138,0.8
139,53.5
140,0.0
141,16.4
142,11.4
143,53.2
144,36.6
145,33.0
146,24.5
147,110.5
148,1.6
149,2.3
150,4.6
151,77.3
152,1.9
153,0.0
154,1.7
155,39.1
156,17.0
157,4.0
158,2.4
159,43.8
160,85.2
161,1.2
162,10.8
163,28.9
164,0.2
165,11.2
166,17.8
167,1.3
168,14.1
169,13.7
170,18.9
171,0.9
172,8.3
173,1.2
174,1.2
175,0.2
176,3.4
177,6.9
178,3.1
179,2.0
180,2.0
181,170.3
182,1.6
183,25.2
184,0.9
185,48.1
186,28.9
187,10.4
188,6.9
189,44.2
190,1.7
191,0.0
192,78.6
193,33.4
194,20.7
195,70.3
196,32.0
197,0.0
198,19.7
199,17.7
200,2.4
201,4.3
202,122.3
203,1.7
204,11.9
205,92.5
206,27.3
207,1.6
208,1.2
209,0.0
210,0.0
211,2.7
212,5.5
213,6.3
214,78.3
215,9.9
216,1.8
217,11.3
218,50.7
219,1.1
220,22.9
221,6.8
222,5.6
223,140.1
224,8.1
225,44.6
226,1.6
227,1.5
228,9.5
229,21.5
230,49.8
231,10.9
232,10.2
233,11.5
234,0.6
235,2.4
236,0.6
237,2.7
238,0.0
239,1.8
240,41.5
241,1.8
242,0.8
243,4.6
244,0.4
245,8.8
246,1.7
247,0.8
248,1.7
249,1.3
250,2.1
251,29.0
252,8.8
253,17.7
254,9.4
255,1.5
256,75.9
257,2.4
258,25.2
259,3.7
260,42.6
261,30.3
262,0.5
263,2.8
264,110.8
265,20.3
266,25.3
267,3.4
268,6.3
269,45.2
270,26.0
271,62.8
272,91.1
273,147.8
274,2.9
275,323.0
276,2.8
277,6.7
278,1.0
279,39.1
280,0.9
281,16.5
282,3.2
283,1.7
284,2.6
285,4.5
286,8.6
287,2.0
288,39.1
289,1.6
290,0.4
