pos_score,neu_score,neg_score,pos_sub_score,neu_sub_score,neg_sub_score,value
90,2320,30,2.4,1.0,2.8,0
120,4400,0,1.6,1.6333333333333333,0,-1
0,80,0,0,0.06666666666666667,0,0
30,0,0,0.5,0,0,0
60,1740,20,1.4,0.0,1.0,-1
690,8500,230,10.964285714285717,18.685714285714287,19.733333333333327,-1
300,3660,0,4.614285714285714,0.5,0,0
120,3380,20,2.7142857142857144,1.65,1.8,0
60,1120,0,1.1,1.0,0,0
0,2060,0,0,0.0,0,1
0,280,0,0,0.0,0,0
30,1660,0,0.5714285714285714,0.0,0,1
480,1340,110,10.321428571428573,5.45,4.766666666666667,0
30,120,0,0.9,0.0,0,0
0,100,0,0,0.0,0,-1
30,740,0,0,0.0,0,1
0,260,0,0,0.0,0,1
30,3560,0,0.65,1.0,0,0
1800,4840,0,20.99999999999999,26.25,0,0
0,1660,0,0,0.0,0,0
0,780,0,0,7.050000000000001,0,0
30,3560,0,0.5714285714285714,4.699999999999999,0,-1
0,0,0,0,0,0,-1
60,300,30,1.75,0.85,2.6666666666666665,-1
60,240,10,1.2,0.5,0,0
120,1660,40,3.2333333333333334,2.4,3.6,0
0,220,0,0,0.0,0,1
60,280,10,0.7000000000000001,0.1,0.5416666666666666,1
0,3960,0,0,0.0,0,0
30,1040,20,1.0,1.0,1.8,0
30,80,0,0.7000000000000001,0.0,0,0
0,180,0,0,0.06666666666666667,0,0
60,140,10,1.4,0.0,1.0,0
1920,12840,0,22.33333333333332,30.116666666666667,0,1
0,580,0,0,0.0,0,1
30,940,60,1.0,0.7,5.199999999999999,0
0,80,0,0,0.0,0,1
60,6240,20,1.5714285714285714,1.6222222222222222,1.8,-1
150,1940,20,2.6,1.1333333333333333,1.8,0
30,1680,20,1.0,1.0,1.8,0
120,400,0,1.5,0.0,0,1
0,0,0,0,0,0,0
0,160,0,0,0.0,0,1
420,1240,90,9.650000000000002,4.45,5.866666666666667,0
120,560,0,1.6,0.13333333333333333,0,1
0,80,0,0,0.0,0,1
0,2940,0,0,0.0,0,-1
240,1040,20,4.2142857142857135,1.0,1.8,0
0,80,10,0,0.0,0.6666666666666666,1
