,pos_score,neu_score,neg_score,pos_sub_score,neu_sub_score,neg_sub_score
0,0.9,23.2,0.3,0.024,0.01,0.028
1,1.2,44.0,0.0,0.016,0.0163,0.0
2,0.0,0.8,0.0,0.0,0.0006,0.0
3,0.3,0.0,0.0,0.005,0.0,0.0
4,0.6,17.4,0.2,0.014,0.0,0.01
5,6.9,85.0,2.3,0.1096,0.1868,0.1973
6,3.0,36.6,0.0,0.0461,0.005,0.0
7,1.2,33.8,0.2,0.0271,0.0165,0.018
8,0.6,11.2,0.0,0.011,0.01,0.0
9,0.0,20.6,0.0,0.0,0.0,0.0
10,0.0,2.8,0.0,0.0,0.0,0.0
11,0.3,16.6,0.0,0.0057,0.0,0.0
12,4.8,13.4,1.1,0.1032,0.0545,0.0476
13,0.3,1.2,0.0,0.009,0.0,0.0
14,0.0,1.0,0.0,0.0,0.0,0.0
15,0.3,7.4,0.0,0.0,0.0,0.0
16,0.0,2.6,0.0,0.0,0.0,0.0
17,0.3,35.6,0.0,0.0065,0.01,0.0
18,18.0,48.4,0.0,0.2099,0.2625,0.0
19,0.0,16.6,0.0,0.0,0.0,0.0
20,0.0,7.8,0.0,0.0,0.0705,0.0
21,0.3,35.6,0.0,0.0057,0.0469,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.6,3.0,0.3,0.0175,0.0085,0.0266
24,0.6,2.4,0.1,0.012,0.005,0.0
25,1.2,16.6,0.4,0.0323,0.024,0.036
26,0.0,2.2,0.0,0.0,0.0,0.0
27,0.6,2.8,0.1,0.007,0.001,0.0054
28,0.0,39.6,0.0,0.0,0.0,0.0
29,0.3,10.4,0.2,0.01,0.01,0.018
30,0.3,0.8,0.0,0.007,0.0,0.0
31,0.0,1.8,0.0,0.0,0.0006,0.0
32,0.6,1.4,0.1,0.014,0.0,0.01
33,19.2,128.4,0.0,0.2233,0.3011,0.0
34,0.0,5.8,0.0,0.0,0.0,0.0
35,0.3,9.4,0.6,0.01,0.007,0.0519
