,pos_score,neu_score,neg_score
0,1.8,46.4,0.6
1,2.4,88.0,0.0
2,0.0,1.6,0.0
3,0.6,0.0,0.0
4,1.2,34.8,0.4
5,13.8,170.0,4.6
6,6.0,73.2,0.0
7,2.4,67.6,0.4
8,1.2,22.4,0.0
9,0.0,41.2,0.0
10,0.0,5.6,0.0
11,0.6,33.2,0.0
12,9.6,26.8,2.2
13,0.6,2.4,0.0
14,0.0,2.0,0.0
15,0.6,14.8,0.0
16,0.0,5.2,0.0
17,0.6,71.2,0.0
18,36.0,96.8,0.0
19,0.0,33.2,0.0
20,0.0,15.6,0.0
21,0.6,71.2,0.0
22,0.0,0.0,0.0
23,1.2,6.0,0.6
24,1.2,4.8,0.2
25,2.4,33.2,0.8
26,0.0,4.4,0.0
27,1.2,5.6,0.2
28,0.0,79.2,0.0
29,0.6,20.8,0.4
30,0.6,1.6,0.0
31,0.0,3.6,0.0
32,1.2,2.8,0.2
33,38.4,256.8,0.0
34,0.0,11.6,0.0
35,0.6,18.8,1.2
36,0.0,1.6,0.0
37,1.2,124.8,0.4
38,3.0,38.8,0.4
39,0.6,33.6,0.4
40,2.4,8.0,0.0
41,0.0,0.0,0.0
42,0.0,3.2,0.0
43,8.4,24.8,1.8
44,2.4,11.2,0.0
45,0.0,1.6,0.0
46,0.0,58.8,0.0
47,4.8,20.8,0.4
48,0.0,1.6,0.2
49,1.2,0.0,0.0
50,3.6,3.6,0.0
51,0.0,5.2,0.0
52,2.4,13.6,0.0
53,0.0,0.4,0.0
54,1.8,4.8,0.4
55,1.2,2.8,0.0
56,0.0,2.4,0.0
57,0.0,4.4,0.0
58,0.0,4.4,0.0
59,0.0,2.4,0.2
60,0.0,13.2,0.0
61,0.6,30.8,0.0
62,0.0,4.0,0.0
63,1.8,22.0,0.8
64,5.4,304.4,0.4
65,0.0,6.4,0.0
66,0.0,4.4,0.0
67,7.8,49.2,1.4
68,0.6,2.4,0.0
69,0.0,2.0,0.0
70,0.6,4.4,0.0
71,1.8,247.6,0.8
72,0.0,34.0,0.0
73,0.6,3.2,0.0
74,0.0,82.0,0.0
75,1.8,57.2,0.6
76,0.6,3.6,0.0
77,0.0,4.8,0.0
78,0.6,39.6,0.4
79,0.0,15.6,0.0
80,0.0,2.4,0.0
81,10.8,15.6,0.0
82,0.0,4.8,0.0
83,0.6,2.4,0.0
84,0.0,28.0,0.0
85,0.0,3.2,0.0
86,1.2,2.8,0.0
87,0.6,2.8,0.4
88,0.6,3.6,0.0
89,0.0,9.6,0.0
90,38.4,223.2,1.8
91,0.0,6.0,0.2
92,0.0,3.6,0.0
93,1.2,3.2,0.4
94,0.0,5.2,0.0
95,0.0,15.6,0.2
96,0.6,5.2,0.4
97,7.2,65.2,0.8
98,0.0,0.8,0.0
99,1.2,6.0,0.0
100,73.8,590.0,1.2
101,0.0,2.0,0.0
102,0.6,11.6,0.0
103,16.8,112.8,0.0
104,0.6,0.8,0.0
105,0.0,7.6,0.2
106,1.2,5.6,0.0
107,0.0,20.4,0.0
108,0.0,4.8,0.0
109,0.0,0.0,0.0
110,1.2,103.2,0.0
111,1.2,39.6,0.6
112,2.4,21.2,1.2
113,0.0,2.0,0.0
114,0.0,6.8,0.0
115,0.6,22.8,0.4
116,1.2,18.8,0.0
117,2.4,3.2,0.4
118,1.2,2.4,0.0
119,0.0,2.8,0.0
120,3.6,90.4,3.8
121,0.0,0.8,0.0
122,0.0,1.2,0.0
123,0.0,20.8,0.0
124,0.6,0.4,0.4
125,0.6,4.4,0.4
126,1.8,46.4,0.0
127,0.0,2.8,0.0
128,0.0,2.0,0.0
129,0.0,0.0,0.0
130,0.0,0.4,0.0
131,3.0,71.6,0.0
132,4.8,119.2,0.8
133,0.0,29.6,0.0
134,1.2,140.4,0.2
135,0.6,10.8,0.4
136,0.0,21.6,0.0
137,0.0,5.2,0.0
138,0.0,1.6,0.0
139,0.6,106.0,0.4
140,0.0,0.0,0.0
141,6.0,25.6,1.2
142,0.0,22.8,0.0
143,3.0,101.6,1.8
144,1.2,72.0,0.0
145,0.0,63.6,2.4
146,0.0,48.8,0.2
147,39.0,181.6,0.4
148,1.2,2.0,0.0
149,0.6,4.0,0.0
150,0.0,9.2,0.0
151,2.4,151.6,0.6
152,0.6,3.2,0.0
153,0.0,0.0,0.0
154,1.2,2.0,0.2
155,0.0,78.0,0.2
156,0.0,34.0,0.0
157,0.6,7.2,0.2
158,0.0,4.8,0.0
159,0.0,87.6,0.0
160,7.8,161.6,1.0
161,0.0,2.4,0.0
162,10.8,10.8,0.0
163,0.6,57.2,0.0
164,0.0,0.4,0.0
165,0.0,22.4,0.0
166,1.2,33.6,0.8
167,0.6,2.0,0.0
168,0.6,27.2,0.4
169,11.4,15.6,0.4
170,0.6,37.2,0.0
171,0.6,1.2,0.0
172,0.6,16.0,0.0
173,0.6,1.6,0.2
174,0.0,2.4,0.0
175,0.0,0.4,0.0
176,0.0,6.8,0.0
177,1.8,12.0,0.0
178,0.0,6.0,0.2
179,0.0,4.0,0.0
180,0.0,4.0,0.0
181,36.6,303.2,0.8
182,0.0,3.2,0.0
183,0.0,50.0,0.4
184,0.6,1.2,0.0
185,4.2,91.6,0.4
186,0.6,57.2,0.0
187,0.6,20.0,0.2
188,0.6,13.2,0.0
189,9.6,78.0,0.8
190,1.2,2.0,0.2
191,0.0,0.0,0.0
192,39.6,116.0,1.6
193,2.4,64.0,0.4
194,0.6,40.4,0.4
195,9.6,130.4,0.6
196,1.2,62.4,0.4
197,0.0,0.0,0.0
198,1.8,37.2,0.4
199,0.6,34.8,0.0
200,0.0,4.8,0.0
201,1.2,6.8,0.6
202,3.6,239.6,1.4
203,1.2,2.0,0.2
204,4.8,18.8,0.2
205,1.2,182.8,1.0
206,4.2,50.0,0.4
207,0.0,3.2,0.0
208,0.0,2.4,0.0
209,0.0,0.0,0.0
210,0.0,0.0,0.0
211,0.6,4.8,0.0
212,0.6,10.0,0.4
213,1.8,10.8,0.0
214,36.6,119.6,0.4
215,3.0,16.8,0.0
216,1.2,2.4,0.0
217,4.2,18.0,0.4
218,0.6,100.8,0.0
219,0.0,2.0,0.2
220,0.6,44.8,0.4
221,1.2,12.4,0.0
222,0.0,11.2,0.0
223,1.2,278.0,1.0
224,0.6,15.2,0.4
225,0.0,89.2,0.0
226,2.4,0.8,0.0
227,0.6,2.4,0.0
228,1.2,17.6,0.2
229,5.4,37.2,0.4
230,3.6,96.0,0.0
231,0.6,21.2,0.0
232,0.0,20.4,0.0
233,1.8,21.2,0.0
234,0.0,1.2,0.0
235,0.0,4.8,0.0
236,0.0,1.2,0.0
237,0.6,4.8,0.0
238,0.0,0.0,0.0
239,1.2,2.4,0.0
240,0.6,82.0,0.4
241,0.6,2.8,0.2
242,0.0,1.6,0.0
243,0.0,9.2,0.0
244,0.0,0.8,0.0
245,0.0,17.6,0.0
246,0.0,3.2,0.2
247,0.0,1.6,0.0
248,0.6,2.8,0.0
249,0.0,2.4,0.2
250,0.6,3.6,0.0
251,3.6,54.4,0.0
252,0.0,17.6,0.0
253,2.4,31.2,1.8
254,1.2,17.6,0.0
255,1.8,1.2,0.0
256,0.6,151.2,0.0
257,0.0,4.4,0.4
258,0.0,50.4,0.0
259,2.4,4.8,0.2
260,1.2,84.0,0.0
261,3.0,57.6,0.0
262,0.6,0.4,0.0
263,0.0,5.6,0.0
264,2.4,218.4,0.8
265,0.6,40.0,0.0
266,11.4,36.4,2.8
267,2.4,4.0,0.4
268,0.6,12.0,0.0
269,0.6,89.2,0.6
270,0.6,47.6,3.8
271,0.0,125.6,0.0
272,8.4,172.0,1.8
273,12.6,281.2,1.8
274,1.8,4.0,0.0
275,78.6,566.4,1.0
276,0.0,5.6,0.0
277,0.6,12.8,0.0
278,0.0,2.0,0.0
279,0.0,77.6,0.6
280,0.0,1.6,0.2
281,0.6,32.4,0.0
282,0.0,6.4,0.0
283,0.6,2.8,0.0
284,1.2,4.0,0.0
285,0.6,8.4,0.0
286,0.0,17.2,0.0
287,0.0,4.0,0.0
288,3.0,75.2,0.0
289,0.0,2.8,0.4
290,0.0,0.8,0.0
291,0.6,4.0,0.0
292,0.0,146.4,0.0
293,0.0,2.8,0.0
294,0.0,5.6,0.0
295,2.4,53.6,0.4
296,0.0,4.8,0.0
297,1.8,7.6,0.6
298,0.0,0.0,0.0
299,0.0,0.0,0.0
300,0.0,20.8,0.0
301,1.2,36.4,1.2
302,0.6,8.0,0.6
303,0.0,2.4,0.0
304,0.0,2.8,0.0
305,0.0,21.2,0.0
306,0.6,125.6,0.2
307,1.2,2.4,0.0
308,12.6,84.8,1.8
309,17.4,46.4,0.4
310,4.8,145.6,1.2
311,44.4,212.8,2.2
312,0.0,5.2,0.0
313,1.2,2.0,0.2
314,1.2,30.4,0.0
315,0.0,2.4,0.0
316,1.2,3.2,0.0
317,3.0,9.6,0.4
318,0.0,20.0,0.0
319,0.6,2.4,0.2
320,0.0,14.8,0.0
321,2.4,32.4,0.0
322,8.4,244.8,2.2
323,3.0,28.0,0.2
324,0.0,16.8,0.0
325,0.6,14.8,0.4
326,0.0,1.2,0.0
327,36.6,158.4,0.2
328,3.6,3.2,0.0
329,0.0,22.4,2.8
330,40.2,352.4,2.4
331,0.0,3.2,0.0
332,0.6,0.0,0.0
333,0.6,4.4,0.2
334,0.6,26.4,0.0
335,36.6,246.4,0.2
336,0.6,4.4,0.2
337,0.0,0.0,0.0
338,2.4,92.0,0.4
339,1.2,72.0,0.0
340,1.2,17.2,0.0
341,0.0,2.8,0.2
342,0.6,4.0,0.2
343,0.6,5.2,0.6
344,0.0,4.0,0.2
345,9.0,132.4,3.4
346,3.0,88.8,0.0
347,0.0,13.6,0.0
348,0.6,0.4,0.2
349,0.6,7.6,0.0
350,0.0,4.0,0.4
351,1.8,5.6,0.0
352,4.2,33.2,0.6
353,0.6,4.4,0.0
354,0.0,3.2,0.0
355,0.0,56.8,0.0
356,0.6,4.8,0.4
357,0.0,0.0,0.0
358,0.0,3.6,0.0
359,0.0,0.8,0.0
360,0.6,4.4,0.0
361,0.6,0.0,0.2
362,0.0,0.4,0.0
363,0.0,3.2,0.0
364,0.6,14.8,0.6
365,16.8,120.0,0.0
366,4.2,61.6,0.6
367,6.6,132.4,1.8
368,0.6,0.4,0.0
369,0.6,4.0,0.0
370,0.6,0.8,0.0
371,0.0,3.2,0.0
372,0.0,7.2,0.0
373,4.8,249.2,2.6
374,38.4,230.0,0.0
375,1.2,60.4,0.2
376,0.0,86.4,0.0
377,0.6,73.2,0.2
378,0.0,1.6,0.0
379,2.4,6.0,0.8
380,0.6,4.8,0.0
381,0.0,3.2,0.0
382,3.6,140.0,0.4
383,0.0,3.6,0.2
384,0.0,2.8,0.0
385,0.0,0.8,0.0
386,0.6,10.8,0.4
387,0.6,58.8,0.4
388,1.2,172.0,0.0
389,5.4,36.4,0.2
390,1.2,2.8,0.0
391,6.6,31.6,0.8
392,3.0,22.0,0.6
393,0.0,3.2,0.0
394,41.4,486.0,1.2
395,0.6,17.6,0.0
396,0.6,94.0,0.4
397,4.2,24.4,0.0
398,4.2,7.6,0.0
399,0.0,2.0,0.0
400,0.0,9.6,0.0
401,3.6,14.8,0.0
402,0.0,0.0,0.0
403,0.0,3.6,0.0
404,1.8,108.0,0.4
405,0.0,0.0,0.0
406,12.6,18.4,0.4
407,0.0,0.0,0.0
408,3.0,186.0,0.2
409,0.0,98.8,0.2
410,0.6,4.0,0.0
411,0.0,50.0,0.0
412,0.0,2.4,0.0
413,0.0,2.4,0.0
414,0.0,6.4,0.0
415,0.0,2.8,0.0
416,0.0,1.2,0.0
417,4.8,14.0,0.0
418,1.2,9.2,0.0
419,0.6,25.6,0.0
420,4.2,94.0,0.4
421,0.6,5.6,0.2
422,1.8,18.8,0.4
423,0.6,0.4,0.0
424,0.0,3.6,0.2
425,0.0,5.6,0.0
426,0.6,3.6,0.2
427,0.0,2.8,0.0
428,0.0,64.0,0.0
429,0.6,3.6,0.2
430,2.4,21.2,0.0
431,36.6,158.8,0.6
432,2.4,208.4,0.4
433,0.0,4.4,0.0
434,0.6,1.2,0.0
435,0.0,1.6,0.0
436,0.0,0.0,0.0
437,0.6,4.8,0.4
438,1.8,21.6,0.8
439,1.8,7.6,0.0
440,2.4,28.8,0.0
441,0.6,10.4,0.4
442,0.6,3.6,0.0
443,0.0,10.8,0.2
444,0.0,3.6,0.0
445,1.2,5.6,0.0
446,0.6,80.0,0.6
447,0.6,188.0,0.4
448,0.6,3.2,0.0
449,36.6,135.6,0.4
450,1.2,26.4,0.2
451,2.4,26.4,0.0
452,0.0,4.0,0.0
453,0.0,3.6,0.0
454,7.2,56.0,1.0
455,0.0,0.0,0.0
456,0.0,4.0,0.0
457,0.0,4.4,0.0
458,0.6,36.0,0.6
459,1.2,2.0,0.2
460,0.0,81.2,0.0
461,0.0,32.0,0.6
462,39.0,132.4,1.0
463,0.6,7.2,0.6
464,0.0,3.2,0.4
465,1.8,3.2,0.0
466,0.0,19.6,0.0
467,0.0,0.0,0.0
468,0.0,1.2,0.0
469,1.2,2.4,0.0
470,0.6,6.8,0.4
471,0.0,4.8,0.0
472,0.0,1.6,0.0
473,1.2,34.0,0.4
474,0.0,0.8,0.0
475,4.2,39.2,1.4
476,0.0,7.2,0.0
477,0.6,18.0,0.0
478,1.8,1.2,0.0
479,0.6,144.0,0.4
480,0.0,41.2,0.0
481,0.0,0.0,0.0
482,0.0,27.2,0.4
483,1.2,22.4,3.6
484,0.0,0.0,0.0
485,1.2,125.6,0.4
486,0.0,0.0,0.0
487,0.0,155.2,1.2
488,0.0,28.4,0.0
489,0.0,3.6,0.0
490,0.0,28.8,0.0
491,0.0,0.0,0.0
492,4.8,35.6,0.8
493,0.0,2.4,0.0
494,0.0,156.4,0.4
495,0.0,2.8,0.0
496,0.0,0.0,0.0
497,0.0,2.4,0.0
498,0.0,0.0,0.0
499,0.6,4.8,0.0
500,1.2,3.2,0.0
501,0.0,0.0,0.0
502,0.0,36.0,0.4
503,0.0,0.0,0.0
504,0.6,2.0,0.0
505,0.0,6.8,0.0
506,0.6,4.8,0.4
507,0.0,9.2,0.6
508,0.0,54.4,0.0
509,1.8,5.2,0.2
510,8.4,78.4,1.8
511,1.2,30.4,0.8
512,0.0,24.8,0.0
513,0.0,1.6,0.0
514,0.0,129.6,0.0
515,1.2,2.0,0.0
516,0.6,32.4,0.0
517,0.0,46.8,0.0
518,0.0,6.8,0.0
519,0.0,5.6,0.0
520,0.0,0.0,0.0
521,1.2,3.6,0.2
522,1.8,47.6,0.4
523,0.0,91.6,0.0
524,1.2,0.8,0.0
525,0.0,10.8,0.0
526,1.2,30.4,0.4
527,0.0,9.6,0.0
528,0.0,4.8,0.0
529,1.8,32.4,0.0
530,1.2,27.6,2.0
531,1.2,4.8,0.0
532,0.0,22.0,0.0
533,0.0,0.8,0.0
534,1.2,4.0,0.0
535,0.0,4.0,0.0
536,3.6,10.8,0.0
537,0.0,0.0,0.0
538,0.6,66.4,0.0
539,0.6,24.8,0.4
540,0.0,3.6,0.0
541,0.0,21.2,0.0
542,0.0,36.8,0.0
543,0.6,0.8,0.4
544,11.4,35.2,0.6
545,0.6,29.2,0.8
546,0.0,5.2,0.0
547,0.0,4.0,0.0
548,0.0,211.6,0.4
549,0.0,0.0,0.0
550,1.2,4.4,0.2
551,0.0,0.0,0.0
552,3.0,87.6,0.4
553,0.6,5.2,0.0
554,1.2,26.8,0.4
555,7.8,48.4,1.4
556,0.0,3.2,0.0
557,7.8,107.6,0.0
558,0.6,2.0,0.0
559,0.0,0.4,0.0
560,2.4,8.0,0.2
561,0.6,2.4,0.0
562,0.6,2.0,0.0
563,0.0,2.4,0.0
564,1.2,1.6,0.2
565,0.6,44.8,0.4
566,0.0,78.4,0.0
567,0.0,154.0,0.0
568,3.6,66.8,1.2
569,0.0,3.2,0.0
570,0.0,0.0,0.0
571,1.8,62.4,0.4
572,0.0,57.6,0.0
573,0.6,114.8,0.0
574,0.6,16.0,0.6
575,0.0,0.0,0.0
576,0.0,1.6,0.0
577,0.6,2.8,0.0
578,2.4,111.6,0.8
579,0.0,0.4,0.0
580,0.6,38.4,0.0
581,1.2,292.8,0.2
582,0.0,0.4,0.0
583,0.0,12.4,0.0
584,7.8,34.4,1.4
585,2.4,52.0,0.8
586,39.6,233.6,1.0
587,0.0,10.0,0.0
588,1.2,33.2,0.4
589,0.0,3.2,0.0
590,3.6,67.2,0.4
591,2.4,33.6,0.4
592,0.0,36.8,0.0
593,1.2,39.2,0.2
594,36.6,102.8,0.6
595,4.8,202.4,0.8
596,3.6,13.2,0.4
597,0.0,4.8,0.0
598,0.0,124.4,0.0
599,0.0,0.4,0.0
600,0.0,70.0,0.0
601,0.0,5.6,0.0
602,0.6,40.4,0.2
603,0.0,110.0,0.0
