pos_score,neu_score,neg_score,value
90,2320,30,0
120,4400,0,-1
0,80,0,0
30,0,0,0
60,1740,20,-1
690,8500,230,-1
300,3660,0,0
120,3380,20,0
60,1120,0,0
0,2060,0,1
0,280,0,0
30,1660,0,1
480,1340,110,0
30,120,0,0
0,100,0,-1
30,740,0,1
0,260,0,1
30,3560,0,0
1800,4840,0,0
0,1660,0,0
0,780,0,0
30,3560,0,-1
0,0,0,-1
60,300,30,-1
60,240,10,0
120,1660,40,0
0,220,0,1
60,280,10,1
0,3960,0,0
30,1040,20,0
30,80,0,0
0,180,0,0
60,140,10,0
1920,12840,0,1
0,580,0,1
30,940,60,0
0,80,0,1
60,6240,20,-1
150,1940,20,0
30,1680,20,0
120,400,0,1
0,0,0,0
0,160,0,1
420,1240,90,0
120,560,0,1
0,80,0,1
0,2940,0,-1
240,1040,20,0
0,80,10,1
60,0,0,1
180,180,0,0
0,260,0,0
120,680,0,0
0,20,0,0
90,240,20,-1
60,140,0,1
0,120,0,0
0,220,0,0
0,220,0,1
0,120,10,1
0,660,0,0
30,1540,0,-1
0,200,0,1
90,1100,40,-1
270,15220,20,1
0,320,0,0
0,220,0,1
390,2460,70,-1
30,120,0,1
0,100,0,1
30,220,0,1
90,12380,40,-1
0,1700,0,0
30,160,0,0
0,4100,0,0
90,2860,30,-1
30,180,0,0
0,240,0,0
30,1980,20,-1
0,780,0,1
0,120,0,0
540,780,0,1
0,240,0,0
30,120,0,1
0,1400,0,1
0,160,0,0
60,140,0,0
30,140,20,1
30,180,0,0
0,480,0,0
1920,11160,90,0
0,300,10,0
0,180,0,1
60,160,20,-1
0,260,0,0
0,780,10,0
30,260,20,0
360,3260,40,1
0,40,0,1
60,300,0,0
3690,29500,60,0
0,100,0,-1
30,580,0,1
840,5640,0,0
30,40,0,1
0,380,10,0
60,280,0,1
0,1020,0,-1
0,240,0,-1
0,0,0,0
60,5160,0,0
60,1980,30,0
120,1060,60,0
0,100,0,0
0,340,0,0
30,1140,20,-1
60,940,0,1
120,160,20,0
60,120,0,1
0,140,0,0
180,4520,190,1
0,40,0,1
0,60,0,0
0,1040,0,-1
30,20,20,0
30,220,20,1
90,2320,0,0
0,140,0,1
0,100,0,0
0,0,0,1
0,20,0,0
150,3580,0,0
240,5960,40,-1
0,1480,0,1
60,7020,10,0
30,540,20,-1
0,1080,0,-1
0,260,0,0
0,80,0,0
30,5300,20,-1
0,0,0,0
300,1280,60,0
0,1140,0,-1
150,5080,90,-1
60,3600,0,1
0,3180,120,1
0,2440,10,-1
1950,9080,20,1
60,100,0,1
30,200,0,-1
0,460,0,-1
120,7580,30,0
30,160,0,1
0,0,0,1
60,100,10,0
0,3900,10,0
0,1700,0,0
30,360,10,0
0,240,0,1
0,4380,0,1
390,8080,50,-1
0,120,0,1
540,540,0,1
30,2860,0,0
0,20,0,0
0,1120,0,0
60,1680,40,0
30,100,0,0
30,1360,20,0
570,780,20,-1
30,1860,0,0
30,60,0,1
30,800,0,-1
30,80,10,1
0,120,0,0
0,20,0,0
0,340,0,1
90,600,0,-1
0,300,10,0
0,200,0,0
0,200,0,-1
1830,15160,40,-1
0,160,0,-1
0,2500,20,0
30,60,0,1
210,4580,20,-1
30,2860,0,1
30,1000,10,1
30,660,0,0
480,3900,40,0
60,100,10,-1
0,0,0,0
1980,5800,80,-1
120,3200,20,0
30,2020,20,1
480,6520,30,1
60,3120,20,0
0,0,0,0
90,1860,20,1
30,1740,0,1
0,240,0,0
60,340,30,1
180,11980,70,0
60,100,10,0
240,940,10,1
60,9140,50,1
210,2500,20,0
0,160,0,0
0,120,0,-1
0,0,0,0
0,0,0,0
30,240,0,0
30,500,20,0
90,540,0,0
1830,5980,20,0
150,840,0,1
60,120,0,-1
210,900,20,1
30,5040,0,0
0,100,10,0
30,2240,20,1
60,620,0,1
0,560,0,0
60,13900,50,1
30,760,20,-1
0,4460,0,0
120,40,0,1
30,120,0,1
60,880,10,1
270,1860,20,-1
180,4800,0,0
30,1060,0,0
0,1020,0,0
90,1060,0,-1
0,60,0,0
0,240,0,-1
0,60,0,0
30,240,0,0
0,0,0,-1
60,120,0,1
30,4100,20,0
30,140,10,-1
0,80,0,0
0,460,0,0
0,40,0,0
0,880,0,-1
0,160,10,-1
0,80,0,1
30,140,0,1
0,120,10,0
30,180,0,1
180,2720,0,0
0,880,0,0
120,1560,90,-1
60,880,0,-1
90,60,0,1
30,7560,0,1
0,220,20,-1
0,2520,0,1
120,240,10,-1
60,4200,0,1
150,2880,0,-1
30,20,0,1
0,280,0,0
120,10920,40,1
30,2000,0,1
570,1820,140,0
120,200,20,1
30,600,0,-1
30,4460,30,1
30,2380,190,-1
0,6280,0,-1
420,8600,90,1
630,14060,90,0
90,200,0,-1
3930,28320,50,1
0,280,0,0
30,640,0,0
0,100,0,0
0,3880,30,-1
0,80,10,-1
30,1620,0,1
0,320,0,0
30,140,0,0
60,200,0,1
30,420,0,-1
0,860,0,-1
0,200,0,1
150,3760,0,0
0,140,20,0
0,40,0,0
30,200,0,0
0,7320,0,0
0,140,0,0
0,280,0,1
120,2680,20,-1
0,240,0,1
90,380,30,0
0,0,0,0
0,0,0,-1
0,1040,0,0
60,1820,60,1
30,400,30,0
0,120,0,1
0,140,0,0
0,1060,0,1
30,6280,10,-1
60,120,0,1
630,4240,90,1
870,2320,20,0
240,7280,60,0
2220,10640,110,-1
0,260,0,0
60,100,10,1
60,1520,0,0
0,120,0,0
60,160,0,-1
150,480,20,1
0,1000,0,0
30,120,10,0
0,740,0,-1
120,1620,0,1
420,12240,110,1
150,1400,10,-1
0,840,0,-1
30,740,20,0
0,60,0,1
1830,7920,10,-1
180,160,0,-1
0,1120,140,-1
2010,17620,120,0
0,160,0,0
30,0,0,1
30,220,10,0
30,1320,0,1
1830,12320,10,0
30,220,10,-1
0,0,0,0
120,4600,20,-1
60,3600,0,0
60,860,0,1
0,140,10,-1
30,200,10,1
30,260,30,-1
0,200,10,0
450,6620,170,0
150,4440,0,0
0,680,0,1
30,20,10,0
30,380,0,0
0,200,20,1
90,280,0,0
210,1660,30,0
30,220,0,1
0,160,0,0
0,2840,0,0
30,240,20,-1
0,0,0,0
0,180,0,0
0,40,0,0
30,220,0,1
30,0,10,-1
0,20,0,-1
0,160,0,1
30,740,30,1
840,6000,0,-1
210,3080,30,1
330,6620,90,0
30,20,0,1
30,200,0,-1
30,40,0,1
0,160,0,0
0,360,0,0
240,12460,130,0
1920,11500,0,1
60,3020,10,-1
0,4320,0,1
30,3660,10,0
0,80,0,-1
120,300,40,-1
30,240,0,-1
0,160,0,1
180,7000,20,1
0,180,10,-1
0,140,0,0
0,40,0,1
30,540,20,1
30,2940,20,-1
60,8600,0,-1
270,1820,10,1
